"companyName","email","email1","email2","city","country"
"Toscana Sacchi S.r.l.","","","","","Italy"
"Tovar Uruguay","","","","",""
"tpscorp.","","","","",""
"Transcontinental Packaging","","","","",""
"TRANSLINE CONTROLS","","","","",""
"TRI-CORE","","","","",""
"Tristar Uk","","","","",""
"Tuery-verpackungen","","","","",""
"Tunisia","","","","",""
"Tunisia New","","","","",""
"Tushar Bhai","","","","",""
"Tushar Sadavrati","","","","",""
"Twil","","","","",""
"Tyler-Packaging","","","","",""
"Tyoga Container Company INC.","","","","",""
"UAB Achempak","","","","",""
"UAB LIBRA VITALIS","","","","",""
"UAB Rumeks-NNZ","","","","",""
"UAB ''UAB ''4BIG''","","","","",""
"UAB ZVALGUVA","","","","",""
"UGEN FERRO ALLOYS PVT. LTD.","","","","",""
"UK Sling &Tackle Ltd","","","","",""
"Uline Inc.","","","","",""
"Ultratech Cement Ltd.","","","","",""
"unidex","","","","",""
"UNILEVER","","","","",""
"Unipack Line","","","","",""
"UNIPACKGROUP","","","","",""
"Uniplas international","","","","",""
"Uniprovs Ltd","","","","",""
"united bags","","","","",""
"United Phosphorus Limited","","","","",""
"UNSA","","","","",""
"URBAN","","","","",""
"Urban Industries Inc.","","","","",""
"UYO Nigeria","","","","",""
"VACOPLAST","","","","",""
"Valencia","","","","",""
"Valley Bag & Supply Co.","","","","",""
"VALSAC","","","","",""
"Vandalay","","","","",""
"VASAVI","","","","",""
"VAVA PACK FRANCE","","","","",""
"VEDANI SRL","","","","",""
"Vedanta","","","","",""
"Vercom","","","","",""
"Verpack","","","","",""
"Verpackung24","","","","",""
"VIGYAN CHEMICAL PVT. LTD.","","","","",""
"Virgilio","","","","",""
"Virgilio Italy","","","","",""
"VM-MATERIAUX","fmestric@materiaux.fr","","","",""
"VSNL","","","","",""
"Walter Enterprise","","","","",""
"WATER PLEX Co.","info@waterplex.com.au","","","Sydney","Australia"
"weber bag","","","","",""
"Webplastics","","","","",""
"Webro Natursteine","","","","",""
"WEISSKER","","","","",""
"Weiterer","","","","",""
"Welspun","","","","",""
"WELWET","","","","",""
"Wessex Packaging","","","","",""
"WEST PACK","","","","KELLOG","USA"
"Western Grain Trading International","jacob@westerngraintrading.com","0","0","QUEBEC","CANADA"
"WESTERN GRAIN TRADING INTL.","jacob@westerngraintrading.com","0","0","QC","Canada"
"WESTERN PACKAGING","stephen@westernpackaging.com","stephen@westernpackaging.com","","WASHINGTON","USA"
"Wgwama futuristix","","","","",""
"Whatbaron 2000 Ltd.","","","","",""
"WHITE BAG","","","","",""
"WIMAR","","","","",""
"workspace ltd.","","","","",""
"WPI","","","","",""
"Wyse Packaging Inc.","","","","",""
"Yash ratani","","","","",""
"Yojaka Exim","","","","",""
"YOSSI COHEN","","","","",""
"Young Bay Group Ltd.","","","","",""
"Yuan Da Plastic","","","","",""
"YUAN DA PLASTICS","","","","",""
"ZABAG","","","","",""
"Zakkencentrale","","","","",""
"ZEGEL IMPEX","","","","",""
"Zenith E.S.C. Limited","","","","",""
"ZOOM INTERNATIONAL FZC","","","","",""
"Zoom International FZC","zoominternationalfzc@gmail.com","","","","UAE"
"ZPH CERPLAST SP. Z.O.O.","","","","","Poland"
"ZYMOTEC OY","","","","",""
